time,value,unit
2018-06-15 01:45:00 +0000,56.84090909,deg F
2018-06-15 01:46:00 +0000,71,deg F
2018-06-15 01:47:00 +0000,62.72727273,deg F
2018-06-15 01:48:00 +0000,61.46340091,deg F
2018-06-15 01:49:00 +0000,61.09090909,deg F
2018-06-15 01:50:00 +0000,65.59090909,deg F
2018-06-15 01:51:00 +0000,74.22727273,deg F
2018-06-15 01:52:00 +0000,65,deg F
2018-06-15 01:53:00 +0000,72.83222652,deg F
2018-06-15 01:54:00 +0000,75.25,deg F
2018-06-15 01:55:00 +0000,54.95454545,deg F
2018-06-15 01:56:00 +0000,72,deg F
2018-06-15 01:57:00 +0000,67.29545455,deg F
2018-06-15 01:58:00 +0000,80.11363636,deg F
2018-06-15 01:59:00 +0000,76.31818182,deg F
2018-06-15 02:00:00 +0000,68.72727273,deg F
2018-06-15 02:01:00 +0000,63,deg F
2018-06-15 02:02:00 +0000,77.36363636,deg F
2018-06-15 02:03:00 +0000,78.40909091,deg F
2018-06-15 02:04:00 +0000,58.70454545,deg F
2018-06-15 02:05:00 +0000,70.90909091,deg F
2018-06-15 02:06:00 +0000,68.40909091,deg F
2018-06-15 02:07:00 +0000,77.36363636,deg F
2018-06-15 02:08:00 +0000,69.453714,deg F
2018-06-15 02:09:00 +0000,71.09090909,deg F
2018-06-15 02:10:00 +0000,61,deg F
2018-06-15 02:11:00 +0000,70.81818182,deg F
2018-06-15 02:12:00 +0000,64.29545455,deg F
2018-06-15 02:13:00 +0000,57.27272727,deg F
2018-06-15 02:14:00 +0000,70.02272727,deg F
2018-06-15 02:15:00 +0000,80.11363636,deg F
2018-06-15 02:16:00 +0000,67.27272727,deg F
2018-06-15 02:17:00 +0000,65.59090909,deg F
2018-06-15 02:18:00 +0000,55.90909091,deg F
2018-06-15 02:19:00 +0000,67.09090909,deg F
2018-06-15 02:20:00 +0000,63,deg F
2018-06-15 02:21:00 +0000,70.90909091,deg F
2018-06-15 02:22:00 +0000,68.18181818,deg F
2018-06-15 02:23:00 +0000,70.154011,deg F
2018-06-15 02:24:00 +0000,80.5,deg F
2018-06-15 02:25:00 +0000,71,deg F
2018-06-15 02:26:00 +0000,61.81818182,deg F
2018-06-15 02:27:00 +0000,63.36363636,deg F
2018-06-15 02:28:00 +0000,53.18181818,deg F
2018-06-15 02:29:00 +0000,67.09090909,deg F
2018-06-15 02:30:00 +0000,53.18181818,deg F
2018-06-15 02:31:00 +0000,81.81818182,deg F
2018-06-15 02:32:00 +0000,60.56818182,deg F
2018-06-15 02:33:00 +0000,67.09090909,deg F
2018-06-15 02:34:00 +0000,56.36363636,deg F
2018-06-15 02:35:00 +0000,77.72727273,deg F
2018-06-15 02:36:00 +0000,82.25,deg F
2018-06-15 02:37:00 +0000,67.95454545,deg F
2018-06-15 02:38:00 +0000,72.37198534,deg F
2018-06-15 02:39:00 +0000,55.90909091,deg F
2018-06-15 02:40:00 +0000,72.31818182,deg F
2018-06-15 02:41:00 +0000,73.5,deg F
2018-06-15 02:42:00 +0000,70,deg F
2018-06-15 02:43:00 +0000,72.68181818,deg F
2018-06-15 02:44:00 +0000,63.52272727,deg F
2018-06-15 02:45:00 +0000,83.31818182,deg F
2018-06-15 02:46:00 +0000,67.43181818,deg F
2018-06-15 02:47:00 +0000,80.5,deg F
2018-06-15 02:48:00 +0000,67.74308291,deg F
2018-06-15 02:49:00 +0000,58.5,deg F
2018-06-15 02:50:00 +0000,65.22727273,deg F
2018-06-15 02:51:00 +0000,68.52272727,deg F
2018-06-15 02:52:00 +0000,63.77272727,deg F
2018-06-15 02:53:00 +0000,71.175179,deg F
2018-06-15 02:54:00 +0000,64.54545455,deg F
2018-06-15 02:55:00 +0000,66,deg F
2018-06-15 02:56:00 +0000,68.52272727,deg F
2018-06-15 02:57:00 +0000,61.15909091,deg F
2018-06-15 02:58:00 +0000,73.63636364,deg F
2018-06-15 02:59:00 +0000,71.81818182,deg F
2018-06-15 03:00:00 +0000,78.40909091,deg F
2018-06-15 03:01:00 +0000,61.36363636,deg F
2018-06-15 03:02:00 +0000,57.27272727,deg F
2018-06-15 03:05:00 +0000,66.51545173,deg F
2018-06-15 03:06:00 +0000,58.22727273,deg F
2018-06-15 03:07:00 +0000,61.5,deg F
2018-06-15 03:08:00 +0000,64.89312364,deg F
2018-06-15 03:09:00 +0000,69,deg F
2018-06-15 03:10:00 +0000,83.63636364,deg F
2018-06-15 03:11:00 +0000,59.09090909,deg F
2018-06-15 03:12:00 +0000,79,deg F
2018-06-15 03:13:00 +0000,74.54545455,deg F
2018-06-15 03:14:00 +0000,63.63636364,deg F
2018-06-15 03:15:00 +0000,82.25,deg F
2018-06-15 03:16:00 +0000,61.36363636,deg F
2018-06-15 03:17:00 +0000,72.68181818,deg F
2018-06-15 03:18:00 +0000,78.40909091,deg F
2018-06-15 03:19:00 +0000,63.77272727,deg F
2018-06-15 03:20:00 +0000,60.56818182,deg F
2018-06-15 03:21:00 +0000,61.56818182,deg F
2018-06-15 03:22:00 +0000,58.5,deg F
2018-06-15 03:23:00 +0000,74.84484782,deg F
2018-06-15 03:24:00 +0000,63.63636364,deg F
2018-06-15 03:25:00 +0000,72.68181818,deg F
2018-06-15 03:26:00 +0000,58.63636364,deg F
2018-06-15 03:27:00 +0000,72.63636364,deg F
2018-06-15 03:28:00 +0000,62.43181818,deg F
2018-06-15 03:29:00 +0000,60.13636364,deg F
2018-06-15 03:30:00 +0000,63,deg F
2018-06-15 03:31:00 +0000,66,deg F
2018-06-15 03:32:00 +0000,79.77272727,deg F
